Order ID,Order Date,Customer ID,Category,Sub-Category,Product Name,Sales,Profit
US-2017-156909,16-07-2017,SF-20065,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,-1.0196
CA-2015-106320,25-09-2015,EB-13870,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,240.2649
CA-2016-121755,16-01-2016,EH-13945,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,4.2224
CA-2016-121755,16-01-2016,EH-13945,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,11.7741
US-2015-150630,17-09-2015,TB-21520,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,-1665.0522
US-2015-150630,17-09-2015,TB-21520,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,-7.0532
US-2015-150630,17-09-2015,TB-21520,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,15.525
US-2015-150630,17-09-2015,TB-21520,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,1.1016
US-2015-150630,17-09-2015,TB-21520,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,9.7092
US-2015-150630,17-09-2015,TB-21520,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,-5.715
US-2015-150630,17-09-2015,TB-21520,Office Supplies,Art,Lumber Crayons,15.76,3.546
CA-2017-107727,19-10-2017,MA-17560,Office Supplies,Paper,Easy-staple paper,29.472,9.9468
CA-2016-117590,08-12-2016,GH-14485,Technology,Phones,GE 30524EE4,1097.544,123.4737
CA-2016-117590,08-12-2016,GH-14485,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,-147.963
CA-2015-117415,27-12-2015,SN-20710,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,35.415
CA-2015-117415,27-12-2015,SN-20710,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,-46.9764
CA-2015-117415,27-12-2015,SN-20710,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,-15.147
CA-2015-117415,27-12-2015,SN-20710,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,41.7564
CA-2017-120999,10-09-2017,LC-16930,Technology,Phones,Panasonic Kx-TS550,147.168,16.5564
CA-2016-101343,17-07-2016,RA-19885,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,3.894
CA-2017-139619,19-09-2017,ES-14080,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,9.5616
CA-2016-118255,11-03-2016,ON-18715,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,19.7714
CA-2016-118255,11-03-2016,ON-18715,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,8.2062
CA-2014-146703,20-10-2014,PO-18865,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,8.4784
CA-2016-169194,20-06-2016,LH-16900,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,4.95
CA-2016-169194,20-06-2016,LH-16900,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,6.104
CA-2015-115742,18-04-2015,DP-13000,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,17.9634
CA-2015-115742,18-04-2015,DP-13000,Office Supplies,Labels,Avery 485,75.18,35.3346
CA-2015-115742,18-04-2015,DP-13000,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2.9568
CA-2015-115742,18-04-2015,DP-13000,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,17.0981
CA-2016-105816,11-12-2016,JM-15265,Office Supplies,Fasteners,Advantus Push Pins,15.26,6.2566
CA-2016-105816,11-12-2016,JM-15265,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,298.6855
CA-2016-111682,17-06-2016,TB-21055,Office Supplies,Storage,Home/Office Personal File Carts,208.56,52.14
CA-2016-111682,17-06-2016,TB-21055,Office Supplies,Paper,Xerox 232,32.4,15.552
CA-2016-111682,17-06-2016,TB-21055,Furniture,Chairs,Novimex Turbo Task Chair,319.41,7.098
CA-2016-111682,17-06-2016,TB-21055,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,6.9888
CA-2016-111682,17-06-2016,TB-21055,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,3.3
CA-2016-111682,17-06-2016,TB-21055,Office Supplies,Binders,Plastic Binding Combs,48.48,16.362
CA-2016-111682,17-06-2016,TB-21055,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,0.84
CA-2015-135545,24-11-2015,KM-16720,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,6.1512
CA-2015-135545,24-11-2015,KM-16720,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,9.3612
CA-2015-135545,24-11-2015,KM-16720,Office Supplies,Paper,Xerox 1943,146.73,68.9631
CA-2015-135545,24-11-2015,KM-16720,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,22.3328
US-2015-164175,30-04-2015,PS-18970,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,-15.2225
CA-2014-106376,05-12-2014,BS-11590,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,111.3024
CA-2014-106376,05-12-2014,BS-11590,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,62.988
CA-2016-119823,04-06-2016,KD-16270,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,35.6636
CA-2016-106075,18-09-2016,HM-14980,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1.731
CA-2017-114440,14-09-2017,TB-21520,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,8.763
US-2015-134026,26-04-2015,JE-15745,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,-114.3912
US-2015-134026,26-04-2015,JE-15745,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,1.213
US-2015-134026,26-04-2015,JE-15745,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,-18.196
US-2017-118038,09-12-2017,KB-16600,Office Supplies,Binders,Economy Binders,1.248,-1.9344
US-2017-118038,09-12-2017,KB-16600,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,-5.8248
US-2017-118038,09-12-2017,KB-16600,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,2.724
US-2014-147606,26-11-2014,JE-15745,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,-14.475
CA-2016-127208,12-06-2016,SC-20770,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,56.2032
CA-2016-127208,12-06-2016,SC-20770,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,8.0352
CA-2014-139451,12-10-2014,DN-13690,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,4.172
CA-2014-139451,12-10-2014,DN-13690,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,6.2031
CA-2015-149734,03-09-2015,JC-16105,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,62.8075
US-2017-119662,13-11-2017,CS-12400,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,-48.9549
CA-2017-140088,28-05-2017,PO-18865,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,33.2156
CA-2017-155558,26-10-2017,PG-18895,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,6.7966
CA-2017-155558,26-10-2017,PG-18895,Office Supplies,Labels,Avery 511,6.16,2.9568
CA-2016-159695,05-04-2016,GM-14455,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,13.8572
CA-2016-109806,17-09-2016,JS-15685,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,6.633
CA-2016-109806,17-09-2016,JS-15685,Technology,Phones,Panasonic Kx-TS550,73.584,8.2782
CA-2016-109806,17-09-2016,JS-15685,Office Supplies,Paper,Xerox 1995,6.48,3.1104
CA-2015-149587,31-01-2015,KB-16315,Office Supplies,Paper,Xerox 1999,12.96,6.2208
CA-2015-149587,31-01-2015,KB-16315,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,16.5354
CA-2015-149587,31-01-2015,KB-16315,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,16.1504
US-2017-109484,06-11-2017,RB-19705,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,-3.788
CA-2017-161018,09-11-2017,PN-18775,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,40.5426
CA-2017-157833,17-06-2017,KD-16345,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,17.9592
CA-2016-149223,06-09-2016,ER-13855,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,22.5852
CA-2016-158568,29-08-2016,RB-19465,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,22.6184
CA-2016-158568,29-08-2016,RB-19465,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,-10.7973
CA-2016-158568,29-08-2016,RB-19465,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,-3.0396
CA-2016-129903,01-12-2016,GZ-14470,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,11.7208
US-2015-156867,13-11-2015,LC-16870,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,-26.8758
US-2015-156867,13-11-2015,LC-16870,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,-3.8385
US-2015-156867,13-11-2015,LC-16870,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,-25.8174
CA-2017-119004,23-11-2017,JM-15250,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,17.6016
CA-2017-119004,23-11-2017,JM-15250,Technology,Phones,Speck Products Candyshell Flip Case,27.992,2.0994
CA-2017-119004,23-11-2017,JM-15250,Office Supplies,Art,Newell Chalk Holder,3.304,1.0738
CA-2015-129476,15-10-2015,PA-19060,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,67.992
CA-2017-146780,25-12-2017,CV-12805,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,10.9096
CA-2016-128867,03-11-2016,CL-12565,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,22.788
CA-2016-128867,03-11-2016,CL-12565,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,13.3476
CA-2014-115259,25-08-2014,RC-19960,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14.5348
CA-2014-115259,25-08-2014,RC-19960,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,1.652
CA-2014-115259,25-08-2014,RC-19960,Office Supplies,Paper,Xerox 1921,23.976,7.4925
CA-2014-115259,25-08-2014,RC-19960,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,44.0316
CA-2015-110457,02-03-2015,DK-13090,Furniture,Tables,Hon Racetrack Conference Tables,787.53,165.3813
US-2015-136476,05-04-2015,GG-14650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,-115.7156
CA-2016-103730,12-06-2016,SC-20725,Furniture,Furnishings,Artistic Insta-Plaque,47.04,18.3456
CA-2016-103730,12-06-2016,SC-20725,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,13.878
CA-2016-103730,12-06-2016,SC-20725,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,63.4368
CA-2016-103730,12-06-2016,SC-20725,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,51.759
CA-2016-103730,12-06-2016,SC-20725,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,19.7316
US-2014-152030,26-12-2014,AD-10180,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,-8.5794
US-2014-134614,20-09-2014,PF-19165,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,-407.682
US-2017-107272,05-11-2017,TS-21610,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,-1.8308
US-2017-107272,05-11-2017,TS-21610,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,30.499
US-2016-125969,06-11-2016,LS-16975,Furniture,Chairs,"Global Task Chair, Black",81.424,-9.1602
US-2016-125969,06-11-2016,LS-16975,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,26.2416
US-2017-164147,02-02-2017,DW-13585,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,-11.994
US-2017-164147,02-02-2017,DW-13585,Office Supplies,Paper,Xerox 1916,78.304,29.364
US-2017-164147,02-02-2017,DW-13585,Office Supplies,Fasteners,Staples,21.456,6.9732
CA-2016-145583,13-10-2016,LC-16885,Office Supplies,Paper,Xerox 195,20.04,9.6192
CA-2016-145583,13-10-2016,LC-16885,Office Supplies,Paper,Xerox 1880,35.44,16.6568
CA-2016-145583,13-10-2016,LC-16885,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,3.456
CA-2016-145583,13-10-2016,LC-16885,Office Supplies,Fasteners,Ideal Clamps,4.02,1.9698
CA-2016-145583,13-10-2016,LC-16885,Office Supplies,Binders,GBC Wire Binding Strips,76.176,26.6616
CA-2016-145583,13-10-2016,LC-16885,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,18.4464
CA-2016-145583,13-10-2016,LC-16885,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12,20.6976
CA-2016-110366,05-09-2016,JD-15895,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,10.35
CA-2017-106180,18-09-2017,SH-19975,Office Supplies,Art,Newell 343,8.82,2.3814
CA-2017-106180,18-09-2017,SH-19975,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,5.1042
CA-2017-106180,18-09-2017,SH-19975,Office Supplies,Paper,Xerox 1911,143.7,68.976
CA-2017-155376,22-12-2017,SG-20080,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,218.2518
CA-2015-110744,07-09-2015,HA-14920,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,20.1579
CA-2014-110072,22-10-2014,MG-17680,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,12.9096
CA-2016-114489,05-12-2016,JE-16165,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,103.8015
CA-2016-114489,05-12-2016,JE-16165,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,5.9988
CA-2016-114489,05-12-2016,JE-16165,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,585.552
CA-2016-114489,05-12-2016,JE-16165,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55,80.6285
CA-2016-158834,13-03-2016,TW-21025,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,17.766
CA-2016-158834,13-03-2016,TW-21025,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,15.2388
CA-2015-124919,31-05-2015,SP-20650,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,26.271
CA-2015-124919,31-05-2015,SP-20650,Office Supplies,Paper,Xerox 1883,105.52,48.5392
CA-2015-124919,31-05-2015,SP-20650,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",80.88,21.0288
CA-2015-118948,28-05-2015,NK-18490,Office Supplies,Art,Newell 311,6.63,1.7901
CA-2014-104269,01-03-2014,DB-13060,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568,51.4764
CA-2016-114104,20-11-2016,NP-18670,Office Supplies,Labels,Avery 519,14.62,6.8714
CA-2016-114104,20-11-2016,NP-18670,Technology,Phones,Avaya 5420 Digital phone,944.93,236.2325
CA-2016-162733,11-05-2016,TT-21070,Office Supplies,Paper,Xerox 1920,5.98,2.691
CA-2015-119697,28-12-2015,EM-13960,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,54.384,1.3596
CA-2016-154508,16-11-2016,RD-19900,Office Supplies,Envelopes,Staple envelope,28.4,13.348
CA-2016-113817,07-11-2016,MJ-17740,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68,9.688
CA-2014-139892,08-09-2014,BM-11140,Office Supplies,Art,BIC Brite Liner Highlighters,9.936,2.7324
CA-2014-139892,08-09-2014,BM-11140,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.952,-1359.992
CA-2014-139892,08-09-2014,BM-11140,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,275.928,-58.6347
CA-2014-139892,08-09-2014,BM-11140,Furniture,Chairs,SAFCO Arco Folding Chair,1740.06,-24.858
CA-2014-139892,08-09-2014,BM-11140,Office Supplies,Art,Sanford Liquid Accent Highlighters,32.064,6.8136
CA-2014-139892,08-09-2014,BM-11140,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,177.98,-453.849
CA-2014-139892,08-09-2014,BM-11140,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,143.976,8.9985
CA-2014-118962,05-08-2014,CS-12130,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94,9.8418
CA-2014-118962,05-08-2014,CS-12130,Office Supplies,Paper,Xerox 1913,110.96,53.2608
CA-2014-118962,05-08-2014,CS-12130,Furniture,Chairs,"Global Value Steno Chair, Gray",340.144,21.259
US-2014-100853,14-09-2014,JB-15400,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448,-131.12
US-2014-100853,14-09-2014,JB-15400,Office Supplies,Labels,Avery 51,20.16,6.552
US-2017-152366,21-04-2017,SJ-20500,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264,-243.16
US-2015-101511,21-11-2015,JE-15745,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",396.802,-11.3372
US-2015-101511,21-11-2015,JE-15745,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,15.88,-3.7715
CA-2015-137225,15-12-2015,JK-15640,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28,1.4104
CA-2014-166191,05-12-2014,DK-13150,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",24.816,1.8612
CA-2014-166191,05-12-2014,DK-13150,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,408.744,76.6395
CA-2014-158274,19-11-2014,RM-19675,Technology,Phones,AT&T TR1909W,503.96,131.0296
CA-2014-158274,19-11-2014,RM-19675,Technology,Phones,Nokia Lumia 521 (T-Mobile),149.95,41.986
CA-2014-158274,19-11-2014,RM-19675,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,29,7.25
CA-2016-105018,28-11-2016,SK-19990,Office Supplies,Binders,Avery Poly Binder Pockets,7.16,3.4368
CA-2014-123260,26-08-2014,FM-14290,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,22.984
CA-2016-157000,16-07-2016,AM-10360,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",37.224,3.7224
CA-2016-157000,16-07-2016,AM-10360,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016,6.255
CA-2015-102281,12-10-2015,MP-17470,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136,112.392
CA-2015-102281,12-10-2015,MP-17470,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76,20.0928
CA-2015-102281,12-10-2015,MP-17470,Office Supplies,Paper,Xerox 205,51.84,24.8832
CA-2015-102281,12-10-2015,MP-17470,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352,46.9764
CA-2015-102281,12-10-2015,MP-17470,Office Supplies,Art,4009 Highlighters by Sanford,19.9,6.567
CA-2015-131457,31-10-2015,MZ-17515,Office Supplies,Envelopes,Poly String Tie Envelopes,14.28,6.7116
CA-2014-140004,21-03-2014,CB-12025,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408,1.2038
CA-2014-140004,21-03-2014,CB-12025,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",6.048,1.5876
CA-2017-107720,06-11-2017,VM-21685,Office Supplies,Storage,Decoflex Hanging Personal Folder File,46.26,12.0276
US-2017-124303,06-07-2017,FH-14365,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.946,-2.2586
US-2017-124303,06-07-2017,FH-14365,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056,5.8203
CA-2017-105074,24-06-2017,MB-17305,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744,6.795
CA-2014-133690,03-08-2014,BS-11755,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,-161.875
CA-2014-133690,03-08-2014,BS-11755,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,0.2925
US-2017-116701,17-12-2017,LC-17140,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,66.284,-178.9668
CA-2017-126382,03-06-2017,HK-14890,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168,9.6712
CA-2017-108329,09-12-2017,LE-16810,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,444.768,44.4768
CA-2017-135860,01-12-2017,JH-15985,Office Supplies,Storage,"Tennsco Lockers, Gray",83.92,5.8744
CA-2017-135860,01-12-2017,JH-15985,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98,35.6346
CA-2017-135860,01-12-2017,JH-15985,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92,7.4824
CA-2017-135860,01-12-2017,JH-15985,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",52.29,16.2099
CA-2017-135860,01-12-2017,JH-15985,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99,3.6796
CA-2015-101007,09-02-2015,MS-17980,Technology,Accessories,Memorex Micro Travel Drive 8 GB,20.8,6.5
CA-2015-146262,02-01-2015,VW-21775,Office Supplies,Labels,Avery 505,23.68,8.88
CA-2015-146262,02-01-2015,VW-21775,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45,-244.323
CA-2015-146262,02-01-2015,VW-21775,Technology,Phones,Speck Products Candyshell Flip Case,62.982,-14.6958
CA-2015-146262,02-01-2015,VW-21775,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,1188,-950.4
CA-2015-146262,02-01-2015,VW-21775,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,89.584,4.4792
